,Titulo,Categoria,Año,Duracion,Cal. de critica,Cal. de usuarios
0,7 Days to Die ,Action & adventure,2016,59h,35,5.6
1,A Short Hike ,Action & adventure,2021,1.5h,tbd,8.1
2,A Way Out ,Action & adventure,2018,6.5h,79,7.8
3,Age of Empires II: Definitive Edition ,Strategy,2023,42.5h,tbd,9.0
4,Age of Empires IV: Anniversary Edition ,Strategy,2023,28.5h,?,?
5,Airborne Kingdom ,Action & adventure,2021,7.5h,tbd,tbd
6,Alice: Madness Returns ,Action & adventure,2011,14h,70,8.3
7,Amnesia: Collection ,Action & adventure,2018,16h,79,8.2
8,Amnesia: Rebirth ,Action & adventure,2022,8.5h,tbd,8.3
9,Amnesia: The Bunker ,Action & adventure,2023,5.5h,tbd,5.7
10,Among Us ,Action & adventure,2021,21.5h,tbd,tbd
11,Anthem ,Action & adventure,2019,14h,65,4.0
12,Arcade Paradise ,Simulation,2022,26h,tbd,tbd
13,ARK Ultimate Survivor Edition,Action & adventure,2021,32.5h,69,6.2
14,Army of Two ,Shooter,2009,6.5h,72,7.5
15,As Dusk Falls ,Action & adventure,2022,7h,tbd,6.8
16,Assassin's Creed Odyssey ,Action & adventure,2018,45.5h,87,6.4
17,Assassin's Creed Origins ,Action & adventure,2017,30h,85,7.7
18,Astroneer ,Action & adventure,2019,22.5h,73,7.0
19,Atomic Heart ,Action & adventure,2023,16h,tbd,6.3
20,Back 4 Blood Standard Edition,Shooter,2021,12h,tbd,6.2
21,Banjo-Kazooie ,Classics,2010,11.5h,77,8.3
22,Banjo-Kazooie: Nuts & Bolts ,Action & adventure,2010,16h,79,6.7
23,Banjo-Tooie ,Action & adventure,2010,17h,73,8.4
24,Batman: Arkham Knight ,Action & adventure,2015,17h,85,7.5
25,Battlefield 1: Revolution ,Action & adventure,2017,7h,tbd,4.0
26,Battlefield 2042 ,Shooter,2021,58.5h,tbd,1.4
27,Battlefield 3 ,Shooter,2011,6.5h,84,7.5
28,Battlefield 4 ,Shooter,2013,6.5h,81,6.8
29,Battlefield Hardline ,Shooter,2015,7.5h,71,5.3
30,Battlefield V ,Shooter,2018,6.5h,78,3.1
31,Battletoads ,Action & adventure,2020,4h,72,6.5
32,Bejeweled 2 ,Puzzle & trivia,2005,1.5h,69,6.3
33,Bejeweled 3 ,Family & kids,2011,4.5h,78,8.3
34,Ben 10: Power Trip ,Action & adventure,2020,4.5h,tbd,6.0
35,Besiege Game Preview,Simulation,2023,5.5h,tbd,tbd
36,Black ,Shooter,2008,5.5h,77,8.0
37,BlazBlue: Cross Tag Battle Special Edition,Fighting,2023,4.5h,tbd,tbd
38,Bleeding Edge ,Fighting,2020,— h,66,6.2
39,BLiNX: The Time Sweeper ,Platformer,2018,11h,71,7.6
40,Bramble: The Mountain King ,Action & adventure,2023,5h,tbd,9.1
41,Broforce ,Action & adventure,2019,7h,?,?
42,Broken Age ,Action & adventure,2017,10.5h,78,5.3
43,Brütal Legend ,Action & adventure,2009,9.5h,82,8.0
44,Burnout Paradise Remastered ,Racing & flying,2018,11.5h,79,7.1
45,Call of the Wild: The Angler™ ,Simulation,2023,— h,?,?
46,Car Mechanic Simulator 2021 ,Racing & flying,2023,23h,tbd,7.3
47,Cassette Beasts ,Role playing,2023,17.5h,tbd,tbd
